id,name,totalWords,learnedWords,icon
1,Unit 1: Countries and nationalities,53,0,📚
2,Unit 2: Numbers,55,0,📚
3,Unit 3: Time expressions,38,0,📚
4,Unit 4: Daily routines,69,0,📚
5,Unit 5: Describing things: facts,52,0,📚
6,Unit 6: Describing things: opinions,45,0,📚
7,Unit 7: Sharing information,41,0,📚
8,Unit 8: Common English idioms,24,0,📚
9,Unit 9: Around the house,47,0,📚
10,Unit 10: Kitchen implements and toiletries,51,0,📚
11,Unit 11: Chores and cleaning,60,0,📚
12,Unit 12: Tools and gardening,54,0,📚
13,Unit 13: Moving and renting,43,0,📚
14,Unit 14: The body,53,0,📚
15,Unit 15: Clothes,58,0,📚
16,Unit 16: Accessories and beauty products,48,0,📚
17,Unit 17: Appearance,53,0,📚
18,Unit 18: Personality traits,43,0,📚
19,Unit 19: Feelings and moods,44,0,📚
20,Unit 20: Family tree,40,0,📚
21,Unit 21: Family and relationships,23,0,📚
22,Unit 22: Baby equipment and toys,47,0,📚
23,Unit 23: Education,51,0,📚
24,Unit 24: Studying,22,0,📚
25,Unit 25: Speaking a foreign language,20,0,📚
26,Unit 26: Communication and beliefs,27,0,📚
27,Unit 27: Crime and the law,37,0,📚
28,Unit 28: Meat, fish, dairy, and snacks,53,0,📚
29,Unit 29: Fruit and nuts,47,0,📚
30,Unit 30: Vegetables,21,0,📚
31,Unit 31: Bread, desserts, and condiments,47,0,📚
32,Unit 32: Drinking and eating,49,0,📚
33,Unit 33: Eating in and eating out,52,0,📚
34,Unit 34: Jobs,50,0,📚
35,Unit 35: Working conditions,42,0,📚
36,Unit 36: Industries and departments,40,0,📚
37,Unit 37: Office equipment,44,0,📚
38,Unit 38: Money and finance,35,0,📚
39,Unit 39: Working,23,0,📚
40,Unit 40: Meeting and presenting,21,0,📚
41,Unit 41: Work and business idioms,20,0,📚
42,Unit 42: Applying for a job,29,0,📚
43,Unit 43: Workplace skills and abilities,46,0,📚
44,Unit 44: Transportation and travel,54,0,📚
45,Unit 45: Driving a car,51,0,📚
46,Unit 46: Maps and directions,60,0,📚
47,Unit 47: Travel and accommodation,54,0,📚
48,Unit 48: Travel and tourism,23,0,📚
49,Unit 49: Camping and cycling,54,0,📚
50,Unit 50: Beach,31,0,📚
51,Unit 51: Weather and climate,53,0,📚
52,Unit 52: Geographical features,40,0,📚
53,Unit 53: Environmental concerns,14,0,📚
54,Unit 54: Pets and farm animals,62,0,📚
55,Unit 55: Wild animals,50,0,📚
56,Unit 56: Birds and bugs,52,0,📚
57,Unit 57: Fish, whales, and sea creatures,40,0,📚
58,Unit 58: Free time activities,69,0,📚
59,Unit 59: Abilities and actions,46,0,📚
60,Unit 60: Sports,47,0,📚
61,Unit 61: Soccer,38,0,📚
62,Unit 62: Sports equipment and venues,43,0,📚
63,Unit 63: Books and reading,37,0,📚
64,Unit 64: Music,43,0,📚
65,Unit 65: Movies and plays,46,0,📚
66,Unit 66: TV,53,0,📚
67,Unit 67: Media and celebrity,16,0,📚
68,Unit 68: Sickness,47,0,📚
69,Unit 69: Medicine and treatment,52,0,📚
70,Unit 70: Healthy eating,36,0,📚
71,Unit 71: Fitness and well-being,44,0,📚
72,Unit 72: Around town,49,0,📚
73,Unit 73: Shopping,37,0,📚
74,Unit 74: At the supermarket,40,0,📚
75,Unit 75: Urban life,18,0,📚
76,Unit 76: Technology and gadgets,34,0,📚
77,Unit 77: Technology and the future,21,0,📚
78,Unit 78: Science,41,0,📚